country_code,ECONOMY,Overall_Productive_cap_index_2014,Overall_Productive_cap_index_2015,Overall_Productive_cap_index_2016,Overall_Productive_cap_index_2017,Overall_Productive_cap_index_2018,Human_capital_2014,Human_capital_2015,Human_capital_2016,Human_capital_2017,Human_capital_2018,Natural_capital_2014,Natural_capital_2015,Natural_capital_2016,Natural_capital_2017,Natural_capital_2018,Energy_2014,Energy_2015,Energy_2016,Energy_2017,Energy_2018,Transport_2014,Transport_2015,Transport_2016,Transport_2017,Transport_2018,Info_comm_2014,Info_comm_2015,Info_comm_2016,Info_comm_2017,Info_comm_2018,Institutions_2014,Institutions_2015,Institutions_2016,Institutions_2017,Institutions_2018,Private_sector_2014,Private_sector_2015,Private_sector_2016,Private_sector_2017,Private_sector_2018,Structural_Change_2014,Structural_Change_2015,Structural_Change_2016,Structural_Change_2017,Structural_Change_2018
BTN,Bhutan,28.61477742,29.01317534,29.52632616,29.79838677,30.10631333,45.64185824,45.87139099,46.04154697,46.27879962,46.53099265,41.45233976,41.93438187,41.93482435,41.74056662,41.54572147,21.87380048,21.88306464,21.90632495,22.13659567,22.36686638,20.36628055,19.79501771,21.75674026,21.7505767,21.74441315,7.303283085,8.016533495,8.236225836,8.727449561,9.218658302,62.03349736,63.22576944,63.9794496,63.24397566,63.27687984,73.30128055,73.36966787,73.45538539,73.65987368,73.86436196,16.05900667,16.20274584,16.2179078,16.43926922,16.66063064
BOL,Bolivia (Plurinational State of),28.18712001,28.14396245,28.54101738,28.81755771,29.08496755,46.27184855,46.99214123,47.13435831,47.14840267,47.21946506,53.76569336,52.63995187,52.64010249,53.00325493,53.00325493,27.9469788,27.8983435,27.8983435,27.91853574,27.9142671,13.43123391,13.31646431,13.33867225,13.33867225,13.33867225,8.131705184,8.098804469,8.435634696,8.70347784,8.990823696,41.54733237,40.92222488,41.05492527,41.0281831,40.76868734,76.70801642,77.09894034,77.5122971,77.47537203,77.63980811,16.46520854,16.76275185,17.76464849,18.47327205,19.30970199
BIH,Bosnia and Herzegovina,32.71858927,32.60007549,32.59426836,32.73124522,32.86034973,53.75613122,53.6946503,53.7260558,53.88035644,54.12484971,50.05218541,49.99274436,49.99270197,50.16397159,50.22951338,27.95010274,28.01732074,28.01732074,28.1100215,28.19770697,14.73778421,14.74530779,14.74971394,14.75446576,14.75921758,13.00822191,13.44321294,13.69522018,13.95203221,14.20885979,50.75213046,47.87145026,47.92567769,47.78559073,47.83330493,80.39755864,80.31917981,80.33655842,80.26271387,80.20947006,22.32414481,22.25519879,21.76594976,21.96063597,22.04090304
BWA,Botswana,29.58814114,30.25886472,30.20085456,30.41809557,30.58573826,43.37240136,43.73566729,44.14262272,44.62286257,45.08612145,58.15069546,57.97481662,57.97510445,58.08424671,58.14899312,26.43394714,26.42859173,26.42859173,26.85404285,27.1557767,12.51444528,14.66347264,14.9307815,14.9510672,14.96408147,9.940146732,10.00579826,9.973297662,9.964546626,10.14783589,69.60009387,69.54110736,70.08792582,70.34277591,70.34277591,68.0235687,68.16431181,68.04829398,68.25332336,68.45835273,14.96020064,15.0794202,14.40782382,14.72168946,14.71075595
BRA,Brazil,31.67576812,31.56234613,31.39864671,31.60734246,31.69319112,57.5801168,58.36781624,56.87438571,57.83092735,57.84726158,45.30520899,45.05737651,45.05712643,45.16989373,45.24643223,26.9387403,26.80716039,26.80716039,26.86403153,26.91254161,11.31189676,11.21332737,11.27060047,11.23146069,11.21474554,13.41648476,13.4241431,13.33650052,13.79864058,14.21438371,54.19633646,52.03875636,51.74276681,51.74276681,51.74276681,75.99746429,76.05517883,75.92171614,75.93427107,75.9385566,23.07151276,23.44700044,23.28905221,23.31113513,23.07153304
BRN,Brunei Darussalam,34.44147963,34.54961269,34.74336909,35.04032303,35.19098549,50.37078045,50.27243457,50.50722927,50.62746022,50.74779657,40.42799755,38.47743972,38.47748297,38.4775091,38.47754432,37.08902248,37.08895773,37.08895773,37.11544186,37.13302898,22.81062708,23.26445248,23.03541126,23.02035996,22.91992506,12.54989769,13.08974425,13.66686823,14.34104861,14.90095543,69.24853084,68.01578473,67.62186624,68.83889132,68.71363009,79.14999031,82.15561123,82.30028897,82.27219508,82.22254704,16.70741534,16.63005981,16.81191253,16.81191219,16.8114584
BGR,Bulgaria,34.75602522,34.9363881,34.99177683,35.03269468,35.09162861,58.50223177,59.45393769,58.41328774,58.69742359,58.98155945,52.11673575,52.11367131,52.11372519,52.05551136,52.00650727,30.14031706,30.09416453,30.09416453,30.17782048,30.24736987,13.38791086,13.39524186,13.41366402,13.50604464,13.55186827,15.38169633,15.50245074,15.4716895,15.61722205,15.74069525,58.05669125,58.30637545,59.67554798,59.52899188,59.52434033,80.50193801,80.29532874,80.21571733,80.1322142,80.04871107,24.07507843,24.48229907,24.69680963,24.45384123,24.38342019
BFA,Burkina Faso,21.01129321,20.86937933,21.05555162,21.51742228,21.70209039,30.00139887,30.77251616,31.41858928,32.08969829,32.83457099,60.25388413,61.26208493,61.26222194,61.51688929,61.77171273,14.72701784,14.8054524,14.80682541,14.55608077,14.40812069,9.128877595,7.79398928,8.46159864,8.428159722,8.391034723,5.058780467,5.355742819,5.572104249,5.777278434,5.981304155,43.77243521,45.71804497,46.13083572,46.16388401,46.50096629,66.71398841,66.81951415,66.91966605,66.97892027,67.03817448,10.58035089,10.10949165,9.312683989,10.62235832,10.76189261
BDI,Burundi,20.1249919,20.20177262,20.5406088,20.59087172,20.78857353,35.20348285,35.5094698,35.8914163,36.25755809,36.61068801,66.86887008,67.54597683,67.54563617,67.54590817,67.54610831,14.56262969,14.52952082,14.79310409,14.80895849,14.81565771,10.33851899,10.39169672,12.72096706,12.72096706,12.72096706,3.570620701,4.145638886,4.204054618,4.336098685,4.467537152,32.86453834,27.24687479,23.95864159,24.75435729,25.55381635,65.70779289,65.58980015,65.62950614,66.02117694,66.32889218,9.846680044,10.3392712,10.50774394,9.883745349,9.883745349
CPV,Cabo Verde,30.2140525,30.46668714,30.74242348,30.90287742,31.11465954,45.29746758,45.40747423,45.56052916,45.72072926,45.87280423,46.93851494,46.9784807,46.98006902,46.97132107,46.96257312,23.74539498,23.72662174,23.73613585,23.80353008,23.90456247,14.66760285,14.67266069,15.74525508,15.74525508,15.7452506,9.865427931,10.15205448,10.24768068,10.60284451,10.96652421,65.46190803,67.05829922,65.71943466,65.99817295,66.63050213,82.13305535,82.0586025,82.03209789,82.10281488,82.10281488,17.68102591,17.89370111,18.05258734,17.98630727,18.05854439
KHM,Cambodia,24.69281374,25.84879057,25.96455372,26.22372111,26.45984065,42.58290161,42.86983101,43.03417416,43.37454379,43.53265414,46.4707848,46.4815416,46.48161798,46.92258045,47.07687118,19.22554937,19.43381619,19.43381619,19.70924789,19.88187385,12.38609751,16.2101579,16.1461591,16.1461591,16.1461591,6.986028094,7.2375344,7.431106476,7.560718724,7.764415696,38.68975396,38.31616401,37.71167385,37.97715527,38.22021883,79.10217551,80.09343144,80.11947416,80.72737633,81.30775694,13.71896691,14.29468623,14.65741844,14.89676967,15.13612089
CMR,Cameroon,22.96096987,23.14610066,23.33511766,23.48437322,23.59656651,36.01765813,36.29519105,36.5612531,37.35423039,38.22710279,47.59972731,47.1390638,47.13914974,47.68120777,47.91951157,21.52056858,21.55007787,21.55007787,21.6449872,21.66272799,9.020075254,8.994332691,9.445777727,9.20027981,8.807785344,5.951146685,6.116167933,6.288520839,6.611518482,6.98416749,33.58419542,33.75671592,33.76638688,33.35316396,33.25434963,74.50984353,74.54945827,74.5680573,74.64409895,74.7201406,15.58794039,16.13952641,15.82722049,15.84720385,15.84623503
CAN,Canada,42.07800017,43.20155857,43.35296884,42.28343456,42.30072146,72.15662984,72.05837696,72.23995945,72.44854836,72.65713726,43.06865986,42.69043417,42.69044184,42.68594758,42.68141381,37.73193686,37.60489417,37.60489417,37.62330859,37.64172301,19.07415805,23.20716824,23.87297778,19.50124703,19.50124703,23.37983165,23.66947444,23.55013657,23.68123943,23.82944214,92.90646943,92.94619016,93.09800775,92.92851011,92.75927404,82.3981842,81.75883151,81.47468339,81.11108358,80.75461953,24.54955793,25.12805462,25.23103944,25.2286762,25.22868691
CYM,Cayman Islands,32.63878063,32.8703096,33.0152583,33.22958915,33.40381326,44.83249896,44.90844912,45.20265354,45.21927098,45.30322421,45.79392921,45.64480732,45.63384808,45.65867814,45.52981091,19.13677473,19.21164936,19.15494136,19.18652197,19.14196772,36.87818708,36.92647284,36.96980697,37.53503738,38.10026779,10.9040343,11.59373925,12.06370658,12.41181411,12.7590217,53.01304821,53.29433761,53.08455896,53.05876412,52.96078945,79.71818325,79.67906253,79.64772445,79.9500932,80.21186239,19.28878453,19.03529584,18.94594233,18.98927607,19.0115876
CAF,Central African Republic,17.09115921,17.74232803,18.9096223,17.99978578,18.05915099,26.01217367,26.86122268,27.34490755,27.67933036,28.12669974,55.27656812,56.12867694,56.129184,56.13300448,56.13682497,16.71928137,16.73553387,16.65526941,16.63319191,16.6111144,8.486538944,8.565043163,14.13229183,9.026700566,9.026893252,3.540375416,3.589184822,3.593349698,3.646836333,3.698905943,17.1647656,19.95172733,20.45734551,20.71776276,20.92915847,53.31252911,53.22800131,53.24086544,53.48125493,53.31943583,11.01513306,11.92034001,11.56217444,11.6895952,11.57615501
TCD,Chad,15.88723108,15.66344284,16.69741025,16.9103685,17.14428428,27.47194018,28.07120088,28.54783246,29.1163593,29.67687759,61.40023485,59.566013,59.56556269,59.9650232,60.20224266,12.96330229,12.97181443,12.87697799,13.09596931,13.24251064,10.3452864,9.954695995,13.57657384,14.00078523,14.42499663,3.882122787,3.923145502,4.108269915,4.242367201,4.411680603,25.10224239,26.65035601,24.49320871,24.31307406,24.10857489,39.64386136,39.67167686,39.74210849,39.65872791,39.59099377,4.644194856,4.045680392,5.082353371,5.106373108,5.193569445
CHL,Chile,35.48700915,35.70326719,36.27025507,36.44428829,36.60865699,55.50483693,55.88574597,56.02141208,56.34776428,56.64263221,55.49734392,54.79267663,54.79268335,54.66263995,54.53259654,30.61258695,30.77472077,30.77472077,30.75502167,30.74694065,13.06217011,13.68085521,15.44454424,15.26260829,15.14118231,13.94751092,14.27344145,14.45456655,14.77587378,15.09721508,82.29145889,80.01935059,78.56752988,80.65820909,81.77982257,86.48273914,86.51583156,86.59460312,86.74314043,86.89167773,20.57102271,20.72590185,20.87469027,20.82029178,20.91162989
CHN,China,39.07498329,39.38770895,39.09814248,39.54235312,40.00330511,59.34456187,59.60483653,59.8485821,60.18718112,60.52506198,55.76818623,55.58310182,55.58327837,55.83155157,55.96052481,30.89890296,30.88610432,30.88610432,30.97397696,31.05430476,27.08891772,28.46357551,29.5060638,30.26700928,31.02795453,11.78634564,12.63429156,13.25188963,13.96559407,14.75035521,44.89781883,45.20658697,46.22538716,46.07748354,46.07748354,85.29414785,85.92034568,86.20779155,86.30377034,86.39974912,43.46749321,40.52847498,34.10921123,34.16425567,34.21931452
HKG,"China, Hong Kong SAR",44.9442767,45.45080909,44.83786868,45.49471581,45.81065925,64.9451109,65.06844978,65.11593447,65.29650659,65.47517199,41.94227822,41.90672617,41.94004492,42.07194656,42.17040842,33.97240679,33.97276864,33.97276864,34.13184533,34.21453184,31.03208934,31.51272606,31.65028969,32.16094963,32.52849755,26.17251758,26.62311381,27.52021301,28.69648814,29.87343871,89.89061358,90.25486906,87.55949446,87.55939358,87.54007234,96.38277883,95.1337537,94.9269311,94.9269311,94.9269311,25.56819468,27.28963439,24.32150294,25.51499742,25.42680036
COL,Colombia,31.41076155,31.81812368,32.00058907,32.23216208,32.45036427,52.80708231,52.79044144,52.76427337,53.12236873,53.49360641,49.73532917,49.01831937,49.01831609,49.3258705,49.4455205,29.2348407,29.29406664,29.29406664,29.49322896,29.69239129,15.45952272,15.46998081,15.33686765,15.3230104,15.30915396,11.69633207,12.08882927,12.34434223,12.77006854,13.21669089,50.16459909,50.98832495,51.3178679,51.40666762,51.52354378,75.09772019,74.82736947,74.86340067,75.01938017,75.09740968,18.11757032,19.42217695,19.95459829,19.97610191,19.99760557
COM,Comoros,24.18925562,24.44292999,24.41308252,24.51887277,24.60007041,39.59051763,39.82774157,39.66254075,39.97157144,40.22831045,57.21183805,57.5766629,57.56086279,57.59419955,57.6091755,22.47337372,22.56870756,22.3332316,22.26105407,22.24852581,17.33590197,17.29179057,17.33633201,17.33720033,17.33717773,4.703090805,4.715387577,4.793760712,4.859014748,4.954407793,36.6313836,37.26256568,37.25217558,37.73028965,37.74051881,76.25499823,76.34752026,76.37227803,76.42104103,76.46981817,10.11074675,10.61358737,10.46647894,10.49296038,10.49296038
COG,Congo,21.26966056,21.66859667,21.85675792,21.93918789,22.05880581,36.14916681,36.48512231,36.96346068,37.40605641,37.8083112,52.07110759,48.33607704,48.33593224,48.29759147,48.2592507,15.45911143,15.4587209,15.4587209,15.41144597,15.37308056,9.062294755,11.01080585,11.72029902,11.89972043,12.07906686,5.73826897,5.849475714,5.919221892,5.978337361,6.029891477,31.90425565,32.14167499,31.43256523,31.1910616,31.5600402,55.31678047,55.7191189,55.70052786,55.94465942,55.98884895,15.68484535,15.4552748,15.52484271,15.52914791,15.52906311
COD,"Congo, Dem. Rep. of the",19.69304107,19.50696233,19.59151161,19.67766206,19.84668383,30.05357532,30.89526542,31.31550805,31.8548542,32.402004,53.86203544,52.97771054,52.97776741,52.99918893,53.02057576,14.48685783,14.28789275,14.28789275,14.28951804,14.29048553,9.372120192,8.522600961,9.284334818,9.282163434,9.282163434,4.179765305,4.214984379,4.041346085,4.016360185,4.15810381,28.08902533,28.73172872,28.48862993,28.74674947,28.8659244,60.91578506,61.08833741,61.14414098,61.14514393,61.23664583,14.39106472,14.21921686,14.00938342,14.21978327,14.3713945
CRI,Costa Rica,34.33071188,35.10117494,35.08174064,35.2771238,35.47809653,56.80252018,56.75628063,56.66021748,56.98285085,57.30548422,44.78365645,44.6397756,44.6398188,44.54275194,44.44568508,28.1231691,28.06300984,28.06300984,27.96879254,27.93563815,20.87138973,20.64612024,20.55338255,20.57867987,20.60383481,12.89481673,13.54906235,14.1009869,14.67629637,15.25160584,69.84003098,69.94494937,69.21682517,69.48495646,69.45372815,81.06400295,81.17143048,81.35929383,81.52638398,81.72132087,17.70158071,20.40778165,19.80443689,19.74819759,19.77896344
CIV,Côte d'Ivoire,23.70140557,23.42601233,24.02939967,24.23386694,24.4289194,32.27682703,32.62800473,33.30617966,33.76437227,34.24151842,54.82396785,54.80959695,54.80986789,54.84375422,54.87545803,20.64469137,21.1643741,21.1643741,21.08288971,20.96880617,9.582967611,8.057221394,8.740032296,8.711516269,8.682256126,6.58659783,7.048157583,7.501279638,7.858558209,8.253727725,40.27457224,42.06441224,42.26610105,42.16784405,42.69206073,75.56932901,75.71327844,75.76751533,75.69675268,75.64101032,14.19009984,13.24910698,13.70347578,13.9434578,13.91047638
