country_code,YEARS,GDP_USdollars_millions,GDP_per_capita_Usdollars
BEN,2017,12701.65585,1095.274459
BEN,2018,14262.40808,1194.438214
BEN,2019,14391.68631,1170.965533
BEN,2020,15205.07006,1202.63562
BEN,2021,16578.28759,1275.557554
BOL,2008,16674.30956,1687.581864
BOL,2009,17340.02849,1725.149897
BOL,2010,19649.78622,1922.064684
BOL,2011,23963.16297,2304.982296
BOL,2012,27084.49748,2562.466784
BOL,2013,30659.33888,2853.797161
BOL,2014,32996.18801,3022.462884
BOL,2015,33000.19825,2975.648811
BOL,2016,33941.1262,3013.502708
BOL,2017,37508.68307,3280.01179
BOL,2018,40287.64793,3471.006951
BOL,2019,40895.32284,3472.380831
BOL,2020,36572.76486,3064.030537
BOL,2021,38364.68426,3176.023278
BIH,2008,19112.80123,4846.792109
BIH,2009,17613.94614,4542.310913
BIH,2010,17176.3208,4506.933664
BIH,2011,18644.23902,4980.906153
BIH,2012,17226.73626,4688.345896
BIH,2013,18179.10467,5025.240687
BIH,2014,18558.7312,5196.969423
BIH,2015,16211.61837,4599.922813
BIH,2016,16912.95767,4858.668683
BIH,2017,18080.61087,5255.95028
BIH,2018,20183.68819,5936.153655
BIH,2019,20202.63611,6011.417261
BIH,2020,19801.30292,5967.111002
BIH,2021,21841.0273,6677.287651
BWA,2008,10945.13971,5452.613291
BWA,2009,10267.08863,5010.787534
BWA,2010,12786.61232,6113.129224
BWA,2011,15351.91277,7193.836268
BWA,2012,14420.2595,6628.709103
BWA,2013,14901.69853,6720.717264
BWA,2014,16250.74039,7189.396982
BWA,2015,14420.57119,6255.749006
BWA,2016,15646.41611,6651.211398
BWA,2017,17405.49671,7246.734465
BWA,2018,18663.28104,7613.287313
BWA,2019,18362.4052,7345.837705
BWA,2020,15781.67508,6197.636931
BWA,2021,17529.19084,6772.150781
BRA,2008,1695855.392,8801.759476
BRA,2009,1666996.294,8569.901805
BRA,2010,2208838.109,11249.29374
BRA,2011,2616156.607,13200.55817
BRA,2012,2465228.294,12327.51556
BRA,2013,2472819.362,12258.56485
BRA,2014,2456043.766,12071.40465
BRA,2015,1802212,8783.214413
BRA,2016,1795693.266,8680.735421
BRA,2017,2063514.689,9896.717511
BRA,2018,1916933.708,9121.020092
BRA,2019,1886014.572,8905.415727
BRA,2020,1444733.21,6776.539665
BRA,2021,1604580.765,7486.628291
BRN,2008,15948.70209,41471.73476
BRN,2009,11892.30748,30468.79918
BRN,2010,13707.11627,34609.29792
BRN,2011,18524.79077,46138.26636
BRN,2012,19048.44309,46844.19672
BRN,2013,18094.15288,43949.6356
BRN,2014,17097.79571,41035.76022
BRN,2015,12930.29831,30681.45017
BRN,2016,11400.26688,26761.56678
BRN,2017,12128.16661,28186.94653
BRN,2018,13566.91277,31240.44445
BRN,2019,13469.24015,30748.32015
BRN,2020,12002.99824,27173.0109
BRN,2021,20235.94457,45435.94824
BGR,2008,54438.25645,7093.012839
BGR,2009,52023.83844,6814.098779
BGR,2010,50682.3625,6675.518978
BGR,2011,57679.91705,7646.682087
BGR,2012,54299.07033,7251.145291
BGR,2013,55811.38734,7510.447193
BGR,2014,57082.65593,7743.022812
BGR,2015,50782.02222,6947.635034
BGR,2016,53952.63121,7445.87598
BGR,2017,59200.84512,8242.455771
BGR,2018,66361.75916,9323.835968
BGR,2019,68913.7542,9771.491176
BGR,2020,69887.99767,10013.79069
BGR,2021,79552.4794,11553.00674
BFA,2008,9413.334399,619.3832772
BFA,2009,9412.811573,601.456763
BFA,2010,10099.76563,626.6589787
BFA,2011,12064.4876,726.6603145
BFA,2012,12561.73365,734.0148628
BFA,2013,13440.47942,762.0871222
BFA,2014,13924.47043,766.350661
BFA,2015,11823.20703,631.6484148
BFA,2016,12833.36304,665.7863285
BFA,2017,14106.95563,711.1845439
BFA,2018,16059.91207,787.5315167
BFA,2019,15990.80321,763.2244528
BFA,2020,17369.05916,807.0139378
BFA,2021,18729.25828,847.4515596
BDI,2008,1611.8367,194.7107365
BDI,2009,1775.497472,203.8607026
BDI,2010,2032.137629,222.6608502
BDI,2011,2235.809707,236.4501734
BDI,2012,2327.40167,237.5995773
BDI,2013,2451.62528,241.549503
BDI,2014,2705.829235,257.8229314
BDI,2015,2810.53164,262.0017585
BDI,2016,2930.086948,268.7332911
BDI,2017,3297.826848,295.6209363
BDI,2018,3317.319375,288.6263937
BDI,2019,3368.533752,283.66987
BDI,2020,3399.287173,278.1689057
BDI,2021,3670.008536,292.4026973
CPV,2008,1789.327998,3506.176319
CPV,2009,1711.81554,3319.800984
CPV,2010,1664.316428,3193.165982
CPV,2011,1864.823991,3535.070625
CPV,2012,1751.884566,3281.518449
CPV,2013,1850.950062,3428.066197
CPV,2014,1858.125075,3402.685844
CPV,2015,1596.152976,2890.71217
CPV,2016,1663.011131,2978.203796
CPV,2017,1769.786532,3132.620588
CPV,2018,1966.501562,3442.742781
CPV,2019,1981.846171,3434.563491
CPV,2020,1703.697924,2924.100515
CPV,2021,1889.510721,3213.863539
KHM,2008,10351.91778,742.3982307
KHM,2009,10401.8441,734.8145768
KHM,2010,11242.27882,782.6959844
KHM,2011,12829.54293,880.3104275
KHM,2012,14038.38334,949.3964374
KHM,2013,15449.62443,1029.99673
KHM,2014,16777.80805,1103.018204
KHM,2015,18049.95391,1170.742791
KHM,2016,20016.75623,1281.106507
KHM,2017,22177.20063,1400.899268
KHM,2018,24571.75358,1533.315985
KHM,2019,27097.96382,1671.914393
KHM,2020,25291.25131,1542.444792
KHM,2021,26748.90432,1612.446032
CMR,2008,26409.78384,1406.490382
CMR,2009,26017.92606,1346.734151
CMR,2010,26143.81737,1315.21129
CMR,2011,29337.00596,1434.651482
CMR,2012,29104.43531,1383.771815
CMR,2013,32348.1475,1495.325281
CMR,2014,34942.95207,1566.977685
CMR,2015,30905.25311,1342.968258
CMR,2016,32643.69677,1376.695603
CMR,2017,35009.2598,1435.206823
CMR,2018,38694.15976,1543.029475
CMR,2019,39007.35348,1512.948474
CMR,2020,39880.59493,1505.434448
CMR,2021,43772.99154,1609.382339
CAN,2008,1552932.411,46748.96502
CAN,2009,1374624.473,40918.85066
CAN,2010,1617266.735,47617.91114
CAN,2011,1792832.718,52233.34156
CAN,2012,1828685.326,52712.2033
CAN,2013,1847206.58,52681.46414
CAN,2014,1803534.114,50940.66043
CAN,2015,1556128.743,43549.85042
CAN,2016,1528244.723,42317.78611
CAN,2017,1649518.967,45125.10981
CAN,2018,1721905.663,46493.6912
CAN,2019,1741496.79,46411.96325
CAN,2020,1644037.286,43391.22402
CAN,2021,1989416.393,52140.36869
CHL,2008,179638.484,10781.67594
CHL,2009,172389.5,10240.89125
CHL,2010,218537.5655,12852.00444
CHL,2011,252251.992,14688.38151
CHL,2012,267122.3182,15403.40477
CHL,2013,278384.3453,15898.66006
CHL,2014,260541.63,14730.5953
CHL,2015,243919.0853,13649.54632
CHL,2016,250440.1364,13848.80624
CHL,2017,277034.6787,15081.98913
CHL,2018,297571.687,15911.69064
CHL,2019,279385.4784,14674.00396
CHL,2020,252940.0211,13105.48668
CHL,2021,314870.2616,16152.83894
CHN,2008,4594342.358,3453.958674
CHN,2009,5101694.837,3809.720952
CHN,2010,6087187.943,4515.077078
CHN,2011,7551542.528,5564.488744
CHN,2012,8532186.353,6243.546749
CHN,2013,9570466.872,6954.774166
CHN,2014,10475623.08,7562.591119
CHN,2015,11061569.7,7936.749007
CHN,2016,11233313.12,8012.979392
CHN,2017,12310491.94,8729.13693
CHN,2018,13894905.53,9805.380645
CHN,2019,14279965.56,10043.13018
CHN,2020,14722800.53,10332.29898
CHN,2021,17298592.64,12131.75673
HKG,2008,219278.7398,31100.38082
HKG,2009,214047.7957,30170.54471
HKG,2010,228638.6785,32056.1747
HKG,2011,248513.6177,34634.28722
HKG,2012,262628.8772,36304.49252
HKG,2013,275696.8798,37783.11858
HKG,2014,291459.9834,39642.64538
HKG,2015,309385.6226,41809.78321
HKG,2016,320839.705,43147.23705
HKG,2017,341241.9722,45733.57948
HKG,2018,361691.5226,48344.43142
HKG,2019,365708.2026,48786.31946
HKG,2020,349444.713,46586.67773
HKG,2021,370314.9824,49411.05189
COL,2008,242186.9498,5527.449953
COL,2009,232397.8354,5244.353266
COL,2010,286563.0998,6394.198705
COL,2011,334943.8774,7392.452361
COL,2012,370921.3179,8101.829092
COL,2013,382116.1209,8264.126896
COL,2014,381112.1105,8164.714495
COL,2015,293481.7531,6228.426299
COL,2016,282825.0124,5938.463856
COL,2017,311883.7304,6450.319585
COL,2018,334198.2181,6782.03792
COL,2019,323429.8859,6444.443171
COL,2020,271346.8966,5327.770855
COL,2021,313646.9977,6088.275024
COM,2008,911.9673952,1448.786114
COM,2009,901.7114473,1403.457232
COM,2010,907.0939552,1382.714588
COM,2011,1021.748134,1524.835628
COM,2012,1015.900498,1484.034834
COM,2013,1115.905293,1595.533974
COM,2014,1148.057907,1606.547199
COM,2015,965.6406887,1322.404177
COM,2016,1012.147429,1356.344178
COM,2017,1077.439756,1414.586689
COM,2018,1188.79745,1531.337811
COM,2019,1192.559711,1507.687508
COM,2020,1235.400317,1532.439122
COM,2021,1308.956375,1593.131142
COG,2008,11602.89419,2837.169533
COG,2009,9495.430274,2230.424542
COG,2010,13678.01191,3082.102171
COG,2011,16443.658,3587.016405
COG,2012,17693.92333,3754.075649
COG,2013,17953.61576,3718.593688
COG,2014,17759.77435,3591.561897
COG,2015,11750.61289,2320.244328
COG,2016,10152.11484,1957.289247
COG,2017,11011.6519,2072.843963
COG,2018,13360.10499,2455.422303
COG,2019,12525.04141,2248.365055
COG,2020,10100.20983,1771.29106
COG,2021,12393.65457,2123.726281
COD,2008,19788.57187,317.8901143
COD,2009,18648.38749,290.1559074
COD,2010,21565.74651,324.8281096
COD,2011,25839.72246,376.3745917
COD,2012,29306.26964,412.7767444
COD,2013,32671.70699,444.7549366
COD,2014,35909.05341,472.2664
COD,2015,37917.67844,482.0642119
COD,2016,40337.5124,495.3583254
COD,2017,37642.4645,446.618447
COD,2018,47146.00431,541.364522
COD,2019,47319.63027,526.3181751
COD,2020,45307.67395,487.9497047
COD,2021,51214.98661,534.078499
CRI,2008,30801.74995,6841.912585
CRI,2009,30745.71433,6737.860754
CRI,2010,37658.63624,8147.248622
CRI,2011,42762.61371,9137.455102
CRI,2012,47231.65543,9971.651656
CRI,2013,50949.66889,10633.26656
CRI,2014,52016.40892,10737.67888
CRI,2015,56441.92082,11529.95517
CRI,2016,58847.01959,11899.81398
CRI,2017,60516.04462,12118.13362
CRI,2018,62335.93133,12366.43936
CRI,2019,63951.11477,12577.58133
